model,step,score,reward,fires
Dueling Double DQN,103524,-44.0,-154.29917131619396,32
Dueling Double DQN,103753,-58.0,-168.2870086665615,29
Dueling Double DQN,103982,-52.0,-162.27739852099745,26
Dueling Double DQN,104211,-60.0,-170.2919049314009,30
Dueling Double DQN,104440,-46.0,-156.29761690078521,23
Dueling Double DQN,104669,-74.0,-184.29673594532122,37
Dueling Double DQN,104898,-48.0,-158.30963420157536,24
Dueling Double DQN,105127,-64.0,-174.3025156797397,32
Dueling Double DQN,105356,-52.0,-162.31368159043467,26
Dueling Double DQN,105585,-66.0,-176.29051410400695,33
Dueling Double DQN,105814,-50.0,-160.30112729703035,25
Dueling Double DQN,106043,-54.0,-164.2641954661916,27
Dueling Double DQN,106272,-64.0,-174.28956786342502,32
Dueling Double DQN,106502,-52.0,-162.21029516224598,26
Dueling Double DQN,106731,-28.0,-138.29880380948447,24
Dueling Double DQN,106960,-50.0,-160.31225766302526,25
Dueling Double DQN,107200,0.0,-110.1966976437338,20
Dueling Double DQN,107429,-56.0,-166.30871045193533,28
Dueling Double DQN,107658,-50.0,-160.3071838189519,25
Dueling Double DQN,107887,-58.0,-168.28986236576014,29
Dueling Double DQN,108116,-38.0,-148.30784228253935,19
Dueling Double DQN,108345,-42.0,-152.29297542225385,21
Dueling Double DQN,108574,-32.0,-142.30026062498507,26
Dueling Double DQN,108803,-68.0,-178.27876676997957,34
Dueling Double DQN,109032,-40.0,-150.31333394261185,30
Dueling Double DQN,109261,-60.0,-170.29392007560855,30
Dueling Double DQN,109490,-34.0,-144.28566474194636,27
Dueling Double DQN,109719,-48.0,-158.27619892386554,34
Dueling Double DQN,109950,-42.0,-152.17651940882143,21
Dueling Double DQN,110179,-18.0,-128.0693346888788,19
