model,step,score,reward,fires
Dueling Double DQN,68480,-4.0,-114.30123085595386,2
Dueling Double DQN,68709,-2.0,-112.29305415565852,1
Dueling Double DQN,68938,-2.0,-112.30276856934208,1
Dueling Double DQN,69167,-6.0,-116.29244975907002,3
Dueling Double DQN,69396,-8.0,-118.30565818762662,4
Dueling Double DQN,69625,-6.0,-116.29256096274197,3
Dueling Double DQN,69854,-2.0,-112.29326311662535,1
Dueling Double DQN,70083,0.0,-110.30348600106598,0
Dueling Double DQN,70312,-12.0,-122.28339685650273,6
Dueling Double DQN,70541,-8.0,-118.3029700221297,4
Dueling Double DQN,70770,-2.0,-112.3046411020003,1
Dueling Double DQN,70999,-2.0,-112.30130851973442,1
Dueling Double DQN,71228,-8.0,-118.25916688068408,4
Dueling Double DQN,71457,-4.0,-114.28683449333093,2
Dueling Double DQN,71686,-4.0,-114.285803934885,2
Dueling Double DQN,71915,18.0,-92.29125420836966,1
Dueling Double DQN,72144,-4.0,-114.3085373041925,2
Dueling Double DQN,72373,0.0,-110.30926532940303,0
Dueling Double DQN,72602,-2.0,-112.28685996944223,1
Dueling Double DQN,72831,10.0,-100.28619610499146,5
Dueling Double DQN,73060,-2.0,-112.28655521115489,1
Dueling Double DQN,73289,18.0,-92.31142975894886,1
Dueling Double DQN,73518,-2.0,-112.29942526654548,1
Dueling Double DQN,73747,-2.0,-112.30307222633803,1
Dueling Double DQN,73976,-4.0,-114.28450754154194,2
Dueling Double DQN,74205,-2.0,-112.27891820603266,1
Dueling Double DQN,74434,-4.0,-114.2978222627516,2
Dueling Double DQN,74663,0.0,-110.31300320534173,0
Dueling Double DQN,74892,0.0,-110.28358693717752,0
Dueling Double DQN,75121,-2.0,-112.31167818385947,1
Dueling Double DQN,75350,-4.0,-114.30261989885018,2
Dueling Double DQN,75579,-2.0,-112.27374386265654,1
Dueling Double DQN,75808,-6.0,-116.3062964552041,3
Dueling Double DQN,76037,-8.0,-118.29139721538046,4
Dueling Double DQN,76266,0.0,-110.29830284924898,0
Dueling Double DQN,76495,-6.0,-116.28584849329755,3
Dueling Double DQN,76724,-4.0,-114.30146573317978,2
Dueling Double DQN,76953,34.0,-76.30116984204415,3
Dueling Double DQN,77182,-4.0,-114.29362795842364,2
Dueling Double DQN,77411,-4.0,-114.26913133632861,2
Dueling Double DQN,77640,-18.0,-128.26895019356957,9
Dueling Double DQN,77869,-6.0,-116.04664939669019,3
Dueling Double DQN,78098,-4.0,-114.29629513013631,2
Dueling Double DQN,78327,12.0,-98.28967569615261,4
Dueling Double DQN,78556,-6.0,-116.29426635834402,3
Dueling Double DQN,78785,0.0,-110.27352650683511,0
Dueling Double DQN,79014,-6.0,-116.28969612790375,3
Dueling Double DQN,79243,-2.0,-112.29837989909788,1
Dueling Double DQN,79472,-2.0,-112.29133827565492,1
Dueling Double DQN,79701,-4.0,-114.30207766322465,2
Dueling Double DQN,79930,-4.0,-114.30288793217504,2
