model,step,score,reward,fires
Dueling Double DQN,80157,-64.0,-174.28787786895407,32
Dueling Double DQN,80386,-76.0,-186.2913300837738,38
Dueling Double DQN,80615,-62.0,-172.28218553160053,31
Dueling Double DQN,80844,-68.0,-178.29226106319905,34
Dueling Double DQN,81073,-70.0,-180.29473342428906,35
Dueling Double DQN,81302,-72.0,-182.29502664905425,36
Dueling Double DQN,81531,-84.0,-194.2938672771827,42
Dueling Double DQN,81761,-60.0,-170.27389113113693,30
Dueling Double DQN,81990,-70.0,-180.2809269024596,35
Dueling Double DQN,82219,-56.0,-166.30797743286757,28
Dueling Double DQN,82448,-82.0,-192.29030603560997,41
Dueling Double DQN,82677,-34.0,-143.98707454510924,27
Dueling Double DQN,82906,-56.0,-166.28631029736005,28
Dueling Double DQN,83135,-70.0,-180.26229551059527,35
Dueling Double DQN,83364,-48.0,-158.29418557677258,34
Dueling Double DQN,83593,-64.0,-174.30325248044915,32
Dueling Double DQN,83822,-58.0,-168.29096396472124,29
Dueling Double DQN,84051,-72.0,-182.30198024301825,36
Dueling Double DQN,84280,-68.0,-178.29543624666564,34
Dueling Double DQN,84509,-72.0,-182.2793765848888,36
Dueling Double DQN,84738,-62.0,-172.30935798478322,31
Dueling Double DQN,84967,-34.0,-144.3018070390449,27
Dueling Double DQN,85196,-68.0,-178.29307489492118,34
Dueling Double DQN,85425,-24.0,-134.28472675195823,22
Dueling Double DQN,85654,-72.0,-182.30509528319348,36
Dueling Double DQN,85883,-62.0,-172.2876496266947,31
Dueling Double DQN,86112,-32.0,-142.27694011220615,26
Dueling Double DQN,86341,-54.0,-164.31674839895015,37
Dueling Double DQN,86570,-64.0,-174.28496007267645,32
Dueling Double DQN,86799,-66.0,-176.30605562806218,33
Dueling Double DQN,87028,-84.0,-194.2863959878834,42
Dueling Double DQN,87257,-56.0,-166.27592443759448,28
Dueling Double DQN,87486,-46.0,-156.27530907846682,33
Dueling Double DQN,87715,-62.0,-172.28910660444404,31
Dueling Double DQN,87944,-54.0,-164.3113408340651,37
Dueling Double DQN,88173,-64.0,-174.297444763112,32
Dueling Double DQN,88402,-54.0,-164.28400623202407,27
Dueling Double DQN,88631,-58.0,-168.28929461194932,29
Dueling Double DQN,88860,-42.0,-152.3015183071765,31
Dueling Double DQN,89089,-40.0,-150.26591378143652,30
Dueling Double DQN,89318,-76.0,-186.31156264441438,38
Dueling Double DQN,89547,-56.0,-166.28680749057241,28
